,id,frame,x [nm],y [nm],knn,status,knn_set_group,knn_frames,barcodes,gene
0,8.0,0.0,42.501442046266924,234.5240454064727,"[7, 49, 62, 178]",confirmed,4.0,"[0.0, 3.0, 4.0, 15.0]",1001100000000001,Gdc1
1,3.0,0.0,48.462163819609486,66.49481074517286,"[2, 147, 165]",corrected,3.0,"[0.0, 13.0, 15.0]",1000000000000111,E2f2
2,4.0,0.0,66.50349349584205,91.56682558518436,"[3, 150, 159, 166]",confirmed,4.0,"[0.0, 13.0, 14.0, 15.0]",1000000000000111,E2f2
3,1.0,0.0,67.50303683590188,8.387352387918584,"[0, 144, 153, 162]",confirmed,4.0,"[0.0, 13.0, 14.0, 15.0]",1000000000000111,E2f2
4,5.0,0.0,116.38404636405687,125.53067518699284,"[4, 36, 56, 169]",confirmed,4.0,"[0.0, 3.0, 4.0, 15.0]",1001100000000001,Gdc1
5,6.0,0.0,141.505387700167,160.51990295888268,"[5, 41, 59, 172]",confirmed,4.0,"[0.0, 3.0, 4.0, 15.0]",1001100000000001,Gdc1
6,2.0,0.0,142.54086966137254,51.488290148027595,"[1, 30, 145, 163]",unconfirmed,2.0,"[0.0, 3.0, 13.0, 15.0]",1001000000000101,
7,9.0,0.0,180.52028307693007,242.54208998986164,"[8, 50, 63, 179]",confirmed,4.0,"[0.0, 3.0, 4.0, 15.0]",1001100000000001,Gdc1
8,7.0,0.0,230.5095917956272,178.6149014949968,"[6, 42, 60, 173]",confirmed,4.0,"[0.0, 3.0, 4.0, 15.0]",1001100000000001,Gdc1
9,10.0,1.0,20.404790184040607,3.6253195779582055,"[9, 18, 27]",corrected,3.0,"[1.0, 2.0, 3.0]",0111100000000000,Fgb
10,17.0,1.0,65.48372938697241,199.52910738862545,"[16, 46, 105, 176]",unconfirmed,3.0,"[1.0, 3.0, 8.0, 15.0]",0101000010000001,
11,15.0,1.0,113.4320518292648,190.44400414108839,"[14, 24, 43, 61]",confirmed,4.0,"[1.0, 2.0, 3.0, 4.0]",0111100000000000,Fgb
12,11.0,1.0,114.57399608473507,5.42534407400455,"[10, 19, 51]",corrected,3.0,"[1.0, 2.0, 4.0]",0111100000000000,Fgb
13,12.0,1.0,149.42336578587688,36.546465714814246,"[11, 21, 29, 53]",confirmed,4.0,"[1.0, 2.0, 3.0, 4.0]",0111100000000000,Fgb
14,18.0,1.0,173.48831375716188,212.4246761779824,"[17, 47, 74]",corrected,3.0,"[1.0, 3.0, 5.0]",0101010000000001,Pzp
15,16.0,1.0,174.58398117214733,194.4340820123169,"[15, 45, 73, 175]",confirmed,4.0,"[1.0, 3.0, 5.0, 15.0]",0101010000000001,Pzp
16,14.0,1.0,205.49103861291775,147.5640265842765,"[13, 38, 151, 171]",unconfirmed,3.0,"[1.0, 3.0, 13.0, 15.0]",0101000000000101,
17,13.0,1.0,220.5574825585746,64.62604572608332,"[12, 31, 66, 164]",confirmed,4.0,"[1.0, 3.0, 5.0, 15.0]",0101010000000001,Pzp
18,26.0,2.0,7.461207677520362,194.49552842757168,"[25, 44, 86, 174]",confirmed,4.0,"[2.0, 3.0, 6.0, 15.0]",0011001000000001,Timp3
19,19.0,2.0,20.526870436641804,3.4304064331440856,"[9, 18, 27]",corrected,3.0,"[1.0, 2.0, 3.0]",0111100000000000,Fgb
20,24.0,2.0,76.49264396279342,149.491553515359,"[23, 39]",unconfirmed,2.0,"[2.0, 3.0]",0011000000000000,
